      -0.424     -0.012      3.468      0.244      0.133      5.267
      -0.186      0.267      2.531     -0.119      0.080      6.123
       0.293     -0.024      4.318     -0.554      0.158      4.379
      -0.338      0.105      3.666      0.219     -0.501      4.984
      -0.253     -0.432      3.766      0.143      0.168      4.945
       0.225     -0.183      5.295     -0.374     -0.070      3.422
      -0.392      0.423      5.497      0.299      0.246      2.979
      -0.215      0.158      2.863      0.400     -0.122      5.885
      -0.265      0.110      2.038      0.455      0.019      6.690
       0.260     -0.290      6.694     -0.217     -0.245      1.897
      -0.281      0.055      2.454      0.142      0.118      6.294
      -0.559     -0.354      5.213      0.369     -0.155      3.342
       0.207      0.359      5.495     -0.290     -0.154      3.241
       0.429      0.219      5.058     -0.024     -0.316      3.602
      -0.087      0.466      4.181     -0.640      0.146      3.997
       0.185     -0.085      3.554     -0.471      0.234      5.150
      -0.221     -0.167      1.662      0.364     -0.248      6.984
       0.151      0.356      3.291     -0.385     -0.092      5.396
       0.166     -0.320      2.480     -0.026      0.520      6.231
      -0.170     -0.067      5.009      0.466     -0.265      3.631
      -0.067     -0.389      3.961     -0.598      0.120      4.474
       0.281      0.230      4.747     -0.292     -0.136      4.016
      -0.248     -0.357      6.773      0.187     -0.207      1.803
       0.082      0.125      5.328     -0.343      0.129      3.372
      -0.332      0.192      4.320      0.190     -0.406      4.397
       0.655      0.276      4.981     -0.181      0.245      3.460
      -0.298     -0.011      1.451      0.076     -0.490      7.121
      -0.157     -0.096      6.878      0.205     -0.304      1.783
      -0.147      0.074      2.830      0.490     -0.253      5.851
      -0.360     -0.167      3.041      0.229      0.439      5.654
      -0.225      0.197      3.419      0.271     -0.432      5.305
      -0.295      0.289      3.946      0.083      0.083      4.725
      -0.436     -0.058      2.914      0.310     -0.271      5.761
      -0.147      0.128      5.676      0.392     -0.202      3.046
      -0.593     -0.114      5.001      0.273      0.152      3.684
      -0.333      0.100      5.889      0.328     -0.077      2.875
      -0.224     -0.023      6.294      0.312     -0.074      2.465
       0.105     -0.238      4.256     -0.319      0.439      4.449
       0.458     -0.185      3.602     -0.480     -0.250      5.018
      -0.278     -0.345      4.415      0.323     -0.097      4.233
      -0.070     -0.375      2.923      0.219      0.212      5.811
       0.463      0.065      3.481     -0.138      0.074      5.210
       0.172     -0.110      1.893     -0.643      0.100      6.732
       0.372      0.030      2.592     -0.369     -0.147      6.154
       0.061      0.179      2.893     -0.224     -0.510      5.792
      -0.279     -0.275      5.896      0.311     -0.137      2.768
      -0.177      0.718      6.680      0.212     -0.097      1.832
       0.624      0.236      6.206     -0.100     -0.134      2.384
       0.288     -0.078      3.877     -0.371     -0.229      4.830
      -0.043     -0.496      4.710      0.030      0.273      4.021
      -0.158      0.140      4.909      0.289     -0.390      3.806
      -0.572     -0.128      5.710      0.211     -0.039      2.957
       0.260     -0.151      1.531      0.192      0.165      7.112
       0.233      0.138      3.390     -0.594      0.206      5.213
       0.619      0.052      7.482     -0.078      0.020      1.112
       0.405      0.048      5.906     -0.290      0.135      2.830
       0.014     -0.268      4.786     -0.073      0.382      3.974
       0.354     -0.146      4.202     -0.117     -0.701      4.053
      -0.226      0.203      1.425      0.152     -0.011      7.308
      -0.422      0.070      2.694      0.179      0.130      6.006
       0.127      0.239      3.968     -0.246     -0.336      4.787
       0.156     -0.176      5.462     -0.301      0.119      3.299
       0.326     -0.201      1.956     -0.138     -0.624      6.347
       0.009      0.184      3.116     -0.164     -0.629      5.509
       0.449     -0.443      4.651     -0.199     -0.233      3.789
      -0.036     -0.271      5.520      0.523     -0.002      3.044
       0.193     -0.020      1.104     -0.423      0.574      7.427
      -0.530     -0.381      5.243      0.145     -0.227      3.202
      -0.115     -0.085      3.806      0.269      0.603      4.774
       0.178      0.002      3.680     -0.540     -0.033      5.008
       0.100     -0.054      5.043      0.573      0.027      3.443
      -0.284     -0.090      4.515      0.449      0.032      4.229
      -0.263      0.192      7.769      0.204     -0.001      0.969
      -0.370      0.046      5.328      0.120     -0.401      3.321
      -0.351      0.061      3.765      0.476      0.209      4.935
